codigo,departamentos,población menor 1 año (meta programática),bcg recien nacido (hasta 29 días) + menor un año (a partir de 30 dias hasta 11 meses 29 dias) dosis unica,hb recien nacido (hasta 29 días) d. unica,antipolio inactivada (vip) parenteral <  de 1 año 1ras. dosis,vop <de1 año + vip <1año 3as 3.dosis,penta menor de un año 1ras. dosis,penta menor de un año 2das. dosis,penta menor de un año 3ras dosis,rotavirus de 2 a 3 meses y 21 dias 1ra dosis,rotavirus de 4 a 11 meses y 29 dias 2da dosis,flu de 6 meses a 11 meses 1ra dosis,flu de 6 meses a 11 meses 2da dosis,neumo (2 a 11 meses 29 dias) 1ra dosis,neumo (2 a 11 meses 29 dias) 2da dosis,población de 1 año (meta programática),srp (t.v.) de un año u.dósis,varicela de 1 año 1a u.dósis,f.a. 1 año u.dósis,neumo de (12 meses a 23 meses) ref.,neumo de (12-23 meses) 1ra dosis,neumo de (12-23 meses) 2da dosis,neumo de (24- 35 meses) dosis unica,ha 1 año u. dósis,vop al año de la 3ra dosis 1er. ref.,dpt al año de la 3ra dosis 1er. ref.,población 5 años (meta programática),vop 5 años 2do. ref.,dpt 5 años 2do. ref.,srp (t.v.) 5 años ref.,flu gestantes a partir de la semana 14 unica,tdap acelular gestantes de 10 años y mas unica dosis en cada embarazo,region
91,AMAZONAS, 1611 ,1353,1205,1429,1468,1424,1472,1467,1318,1363,1234,951,1426,1477, 1668 ,1545,1494,1563,1527,9,18,43,1567,1308,1300,1870,1583,1582,1583,694,979,AMAZONIA
05,ANTIOQUIA, 74381 ,69840,69229,72306,70732,72362,72006,70752,70558,70612,53755,43606,72634,71754, 77622 ,73842,66259,69153,73046,582,810,4146,74272,69344,69292,84171,74256,74083,74676,56014,60498,ANDINA
81,ARAUCA, 4287 ,4873,4805,5210,4936,5213,5028,4936,5030,4879,3351,2659,5254,5052, 4492 ,4884,4867,4972,4834,47,85,163,4901,4493,4490,4811,4325,4325,4354,3139,3819,LLANOS
08,ATLANTICO, 19832 ,21160,20788,19253,20131,19264,19815,20021,19248,19968,15529,10817,19543,20307, 20382 ,20556,20310,20539,20246,257,347,433,20456,21173,20328,21021,20355,20395,20313,11419,14948,CARIBE
08001,BARRANQUILLA, 20373 ,20833,20890,20831,19675,20814,20116,19725,20666,20048,18475,12925,21607,20382, 21846 ,21326,21175,20765,21174,426,223,621,21380,20887,20977,23033,21130,21086,21282,14985,16481,CARIBE
11,BOGOTA D.C., 98914 ,99950,100156,87446,88353,87488,88027,88353,85773,84685,81259,57566,90283,89444, 99134 ,91767,93122,80888,87708,4621,3118,11206,93252,82008,82072,104159,97486,98099,98596,70933,78533,ANDINA
13,BOLIVAR, 20480 ,9307,9082,18127,17497,18196,17945,17450,17458,17303,16222,12375,18209,18038, 21034 ,18676,18476,17627,18703,193,257,328,18801,18284,18296,21859,17539,17456,17299,13634,14096,CARIBE
13001,CARTAGENA, 18494 ,18639,18690,17942,16568,17943,17260,16575,17452,16940,15264,11265,18124,17444, 18631 ,17082,16863,15710,16842,114,229,362,17159,15456,15451,18877,15939,15859,16045,14300,14430,CARIBE
15,BOYACA, 13869 ,13225,13130,13721,13592,13723,13635,13588,13572,13492,11237,9998,13752,13641, 15381 ,14331,14330,14397,14264,63,73,93,14353,14583,14589,17450,16229,16234,16239,10427,11924,ANDINA
17,CALDAS, 9282 ,8355,8341,8470,8929,8464,8496,8933,8505,8605,8154,6974,8599,8649, 9958 ,9611,9631,9339,9397,197,90,131,9637,9393,9454,10848,10029,10102,10061,7151,7629,ANDINA
18,CAQUETA, 7487 ,7160,7006,7173,6798,7172,7003,6801,6814,6735,6216,4625,7187,7009, 7495 ,7033,7042,7293,6919,65,108,73,7049,6416,6418,8021,6834,6835,6896,5212,5931,AMAZONIA
85,CASANARE, 6513 ,6365,6293,6298,6287,6298,6311,6288,6277,6389,5603,4681,6364,6375, 6661 ,6460,6440,6625,6455,13,14,26,6477,6461,6463,7297,7027,6980,7017,4833,5219,LLANOS
19,CAUCA, 21088 ,15193,14869,18493,19069,18480,18534,19046,18103,18311,17887,14151,18571,18645, 22008 ,19923,18926,18985,19801,74,106,133,19551,19042,18961,22702,20256,20182,20275,15052,16038,PACIFICO
20,CESAR, 22036 ,21041,20387,23669,22343,23664,23274,22352,22786,22531,19771,15155,23803,23297, 22925 ,22649,22425,21348,22311,242,396,397,22669,20832,20848,24608,21523,21488,21628,17623,19301,CARIBE
27,CHOCO, 10459 ,8314,6315,9854,8663,9851,9321,8666,7965,8008,8992,5455,9867,9311, 11791 ,10158,10124,10426,9746,183,588,87,10154,7136,7137,12901,8208,8207,8280,6098,6101,PACIFICO
