codigo,departamentos,población menor 1 año (meta programática),bcg recien nacido (hasta 29 días) + menor un año (a partir de 30 dias hasta 11 meses 29 dias) dosis unica,hb recien nacido (hasta 29 días) d. unica,antipolio inactivada (vip) parenteral <  de 1 año 1ras. dosis,vop <de1 año + vip <1año 3as 3.dosis,penta menor de un año 1ras. dosis,penta menor de un año 2das. dosis,penta menor de un año 3ras dosis,rotavirus de 2 a 3 meses y 21 dias 1ra dosis,rotavirus de 4 a 11 meses y 29 dias 2da dosis,flu de 6 meses a 11 meses 1ra dosis,flu de 6 meses a 11 meses 2da dosis,neumo (2 a 11 meses 29 dias) 1ra dosis,neumo (2 a 11 meses 29 dias) 2da dosis,población de 1 año (meta programática),srp (t.v.) de un año u.dósis,varicela de 1 año 1a u.dósis,f.a. 1 año u.dósis,neumo de (12 meses a 23 meses) ref.,neumo de (12-23 meses) 1ra dosis,neumo de (12-23 meses) 2da dosis,neumo de (24- 35 meses) dosis unica,ha 1 año u. dósis,vop al año de la 3ra dosis 1er. ref.,dpt al año de la 3ra dosis 1er. ref.,población 5 años (meta programática),vop 5 años 2do. ref.,dpt 5 años 2do. ref.,srp (t.v.) 5 años ref.,flu gestantes a partir de la semana 14 unica,tdap acelular gestantes de 10 años y mas unica dosis en cada embarazo,region
23,CORDOBA, 30290 ,24127,23947,25996,26349,26006,25861,26363,25486,25460,24490,18760,26085,25973, 30629 ,27134,26562,26749,27091,94,151,248,27083,26710,26715,31706,27099,27041,27114,21026,21312,CARIBE
25,CUNDINAMARCA, 33896 ,19095,19019,31080,32898,31119,31818,32913,30722,31432,27353,21915,31372,31894, 35671 ,34486,34351,32166,33934,528,370,1289,34576,32612,32705,37992,36125,35918,36238,22994,24742,ANDINA
94,GUAINIA, 802 ,991,806,1029,874,1029,944,876,841,802,508,306,1042,937, 970 ,954,957,955,862,42,83,78,971,689,693,902,812,816,830,436,564,AMAZONIA
95,GUAVIARE, 1316 ,1311,1286,1381,1354,1381,1395,1354,1320,1347,1198,910,1382,1401, 1328 ,1346,1312,1372,1342,3,9,3,1344,1239,1239,1604,1254,1255,1252,858,1076,AMAZONIA
41,HUILA, 19108 ,17681,17645,17348,17640,17352,17400,17637,17266,17281,15492,12358,17453,17466, 19740 ,18370,18326,17873,18288,70,76,128,18415,18084,18084,20558,19364,19369,19415,14178,15668,ANDINA
44,LA GUAJIRA, 20021 ,22126,20383,22517,19161,22582,20889,19166,19470,18796,18603,12162,22632,20633, 21194 ,20990,20844,15299,19778,720,873,2293,21049,15454,15298,22189,18534,18237,18464,11445,14541,CARIBE
47,MAGDALENA, 16542 ,12483,12109,16254,15460,16411,16147,15691,15741,15548,13352,10276,16321,16043, 17244 ,16138,16025,16442,15985,181,213,408,16130,15067,15169,18145,15642,15629,15439,12288,12527,CARIBE
47001,SANTA MARTA, 8754 ,9280,9195,9421,8358,9376,8924,8310,8829,8475,7086,4883,9526,8941, 8761 ,8275,8527,7389,8360,168,144,376,8590,7260,7377,9365,7853,7685,7515,5718,6830,CARIBE
50,META, 15295 ,15102,15188,14394,14082,14435,14303,14077,14078,13945,12083,7713,14628,14355, 15688 ,15009,14839,15142,14722,149,150,128,14869,13815,13875,16814,14841,14914,14845,10789,12065,LLANOS
52,NARIÑO, 20024 ,17141,16789,17444,17243,17447,17388,17226,16936,17033,15156,12429,17497,17421, 20729 ,18356,18355,17366,18249,89,182,204,18411,17391,17389,22304,19070,19069,19160,13686,14895,PACIFICO
54,NORTE DE SANTANDER, 22545 ,19759,19567,23151,22442,23170,22572,22524,22251,21845,21325,14707,23788,22701, 22922 ,22433,19185,24433,21293,582,553,553,22461,18581,18574,23003,20368,20290,20319,15959,17151,ANDINA
86,PUTUMAYO, 4724 ,4108,4017,4633,4629,4631,4683,4632,4505,4577,2754,2299,4664,4682, 4982 ,4785,4763,4932,4715,39,51,70,4820,4578,4579,5461,4927,4985,5000,2955,3769,AMAZONIA
63,QUINDIO, 5600 ,5454,5441,5186,5177,5174,5220,5171,5209,5283,3904,3514,5326,5282, 5784 ,5523,5491,5492,5463,17,19,39,5519,5478,5483,6398,5740,5698,5695,3992,4881,ANDINA
66,RISARALDA, 10258 ,10691,10571,10046,10122,10061,10058,10130,9823,9814,7915,6161,10151,10089, 10714 ,10612,10914,10145,10407,237,179,326,10946,10540,10614,12356,10950,10946,11065,6518,9006,ANDINA
88,SAN_ANDRES_ISLA, 853 ,733,731,761,768,762,768,762,750,759,528,437,765,769, 871 ,788,781,697,785,1,2,2,788,717,720,922,786,785,785,540,697,CARIBE
68,SANTANDER, 30892 ,25909,25995,27092,26666,27064,26643,26698,26553,26380,25628,20431,27201,26730, 31319 ,27967,28119,27003,27823,259,212,330,28193,27024,26946,32843,27991,27703,27894,20387,22440,ANDINA
70,SUCRE, 14028 ,14046,14062,14500,14332,14498,14522,14327,14195,14256,10605,9839,14524,14544, 14828 ,14824,14654,14882,14818,25,55,74,14845,14789,14794,16825,14897,14912,14911,11633,12626,CARIBE
73,TOLIMA, 17210 ,14521,14348,16107,16283,16126,16073,16267,15964,16041,15204,11217,16177,16184, 17543 ,17072,17010,16729,17054,70,59,141,17116,16737,16880,19419,17476,17459,17524,11274,13157,ANDINA
76,VALLE_DEL_CAUCA, 51369 ,44911,44905,51437,51145,51244,51168,51262,50771,50820,44276,36326,51228,51039, 52931 ,52454,52255,50974,51927,359,194,1057,52209,51210,51031,55169,53306,53660,52659,36045,38612,PACIFICO
76109,BUENAVENTURA, 4932 ,4192,4161,4337,3815,4342,4114,3820,3906,3781,3394,2400,4314,4044, 4932 ,4202,4013,3097,4035,127,178,222,4223,3208,3192,5799,3863,3811,3789,3285,3428,PACIFICO
97,VAUPES, 789 ,760,599,695,587,683,662,605,644,597,550,373,664,641, 817 ,735,741,745,740,56,18,36,743,526,523,785,603,604,595,415,670,AMAZONIA
99,VICHADA, 1773 ,1527,958,1986,1208,1958,1664,1223,1354,1248,1097,682,2025,1718, 1827 ,1701,1593,1741,1360,148,248,172,1541,1096,1087,1876,1283,1286,1310,682,974,LLANOS
