codigo,departamentos,población menor 1 año (meta programática),bcg recien nacido (hasta 29 días) + menor un año (a partir de 30 dias hasta 11 meses 29 dias) dosis unica,hb recien nacido (hasta 29 días) d. unica,antipolio inactivada (vip) parenteral <  de 1 año 1ras. dosis,vop <de1 año + vip <1año 3as 3.dosis,penta menor de un año 1ras. dosis,penta menor de un año 2das. dosis,penta menor de un año 3ras dosis,rotavirus de 2 a 3 meses y 21 dias 1ra dosis,rotavirus de 4 a 11 meses y 29 dias 2da dosis,flu de 6 meses a 11 meses 1ra dosis,flu de 6 meses a 11 meses 2da dosis,neumo (2 a 11 meses 29 dias) 1ra dosis,neumo (2 a 11 meses 29 dias) 2da dosis,población de 1 año (meta programática),srp (t.v.) de un año u.dósis,varicela de 1 año 1a u.dósis,f.a. 1 año u.dósis,neumo de (12 meses a 23 meses) ref.,neumo de (12-23 meses) 1ra dosis,neumo de (12-23 meses) 2da dosis,neumo de (24- 35 meses) dosis unica,ha 1 año u. dósis,vop al año de la 3ra dosis 1er. ref.,dpt al año de la 3ra dosis 1er. ref.,población 5 años (meta programática),vop 5 años 2do. ref.,dpt 5 años 2do. ref.,srp (t.v.) 5 años ref.,flu gestantes a partir de la semana 14 unica,tdap acelular gestantes de 10 años y mas unica dosis en cada embarazo,region
52.0,NARIÑO,21185.0,19668.0,19290.0,19338.0,19500.0,19382.0,19192.0,19504.0,18892.0,18885.0,16258.0,12232.0,19421.0,19526.0,21573.0,19693.0,19685.0,18253.0,19724.0,69.0,144.0,145.0,19777.0,18356.0,18360.0,23071.0,19576.0,19569.0,19642.0,12700.0,16518.0,PACIFICO
54.0,NORTE DE SANTANDER,23615.0,21757.0,21112.0,23861.0,24532.0,24319.0,24981.0,24661.0,23781.0,23609.0,21108.0,13236.0,28044.0,24337.0,23996.0,23993.0,24932.0,19094.0,23226.0,1135.0,1459.0,746.0,23958.0,19946.0,19996.0,24010.0,21138.0,21159.0,20907.0,14159.0,18139.0,ANDINA
86.0,PUTUMAYO,4978.0,4331.0,4369.0,4786.0,4592.0,4787.0,4682.0,4593.0,4622.0,4555.0,3257.0,2555.0,4797.0,4692.0,5156.0,4718.0,4673.0,7119.0,4696.0,32.0,127.0,96.0,4754.0,4548.0,4554.0,5528.0,5240.0,5238.0,5260.0,3108.0,3984.0,AMAZONIA
63.0,QUINDIO,5966.0,6125.0,6084.0,5681.0,5579.0,5690.0,5724.0,5577.0,5690.0,5732.0,4576.0,3546.0,5751.0,5774.0,5938.0,5799.0,5787.0,5562.0,5774.0,25.0,26.0,24.0,5481.0,5678.0,5687.0,6231.0,5830.0,5822.0,5834.0,3960.0,5200.0,ANDINA
66.0,RISARALDA,11159.0,11039.0,10983.0,10418.0,10188.0,10427.0,10351.0,10187.0,10208.0,10169.0,8852.0,6400.0,10311.0,10246.0,11247.0,10595.0,10584.0,10047.0,10201.0,75.0,89.0,182.0,10605.0,10431.0,10315.0,11878.0,11090.0,11016.0,10840.0,5969.0,9239.0,ANDINA
88.0,SAN ANDRES ISLA,893.0,794.0,788.0,820.0,867.0,823.0,841.0,862.0,789.0,825.0,745.0,490.0,824.0,850.0,911.0,866.0,860.0,735.0,866.0,0.0,1.0,1.0,867.0,789.0,791.0,924.0,784.0,804.0,821.0,554.0,735.0,CARIBE
68.0,SANTANDER,33237.0,30640.0,30687.0,29175.0,29387.0,29504.0,29388.0,29619.0,29219.0,29164.0,26155.0,20321.0,29859.0,29736.0,33357.0,29984.0,30268.0,28308.0,30151.0,307.0,175.0,362.0,29874.0,28457.0,28550.0,31679.0,29113.0,29306.0,27990.0,20309.0,25680.0,ANDINA
70.0,SUCRE,15463.0,14992.0,14906.0,15220.0,14257.0,15268.0,14755.0,14247.0,14875.0,14302.0,10464.0,9441.0,15451.0,14664.0,15738.0,14752.0,14361.0,14108.0,14581.0,112.0,143.0,194.0,14741.0,14153.0,14138.0,17175.0,16058.0,16057.0,16052.0,11281.0,13690.0,CARIBE
73.0,TOLIMA,18848.0,16503.0,16267.0,17250.0,16827.0,17264.0,17270.0,16749.0,17147.0,17234.0,14310.0,9334.0,17088.0,17065.0,19010.0,17589.0,17083.0,16545.0,17373.0,49.0,60.0,151.0,17021.0,16889.0,16866.0,19927.0,17735.0,17696.0,17519.0,9212.0,14868.0,ANDINA
76.0,VALLE DEL CAUCA,57449.0,50642.0,50588.0,54615.0,54918.0,54947.0,54820.0,54670.0,54573.0,54372.0,36587.0,25972.0,54541.0,54364.0,58240.0,55992.0,56228.0,54410.0,55354.0,2096.0,471.0,2190.0,55465.0,54461.0,54693.0,58790.0,55884.0,56161.0,55916.0,28213.0,49125.0,PACIFICO
76109.0,BUENAVENTURA,5898.0,4861.0,4590.0,5004.0,4009.0,5038.0,4610.0,4047.0,4464.0,4218.0,3503.0,2193.0,5036.0,4573.0,6138.0,4689.0,4550.0,3383.0,4521.0,102.0,220.0,326.0,4619.0,3592.0,3614.0,7012.0,4585.0,4591.0,4504.0,3419.0,3952.0,PACIFICO
97.0,VAUPES,831.0,716.0,588.0,694.0,703.0,699.0,639.0,694.0,568.0,548.0,517.0,263.0,700.0,653.0,862.0,746.0,691.0,765.0,726.0,17.0,31.0,46.0,751.0,489.0,490.0,822.0,766.0,767.0,752.0,311.0,563.0,AMAZONIA
99.0,VICHADA,1821.0,1517.0,957.0,1780.0,1099.0,1774.0,1475.0,1099.0,1199.0,1134.0,1079.0,641.0,1802.0,1407.0,1871.0,1665.0,1409.0,2081.0,1334.0,129.0,208.0,88.0,1605.0,917.0,908.0,1841.0,1254.0,1243.0,1161.0,678.0,1031.0,LLANOS
